product_id,observations,actual_demand,hgb_total_abs_error,catboost_total_abs_error,hgb_mean_abs_error,catboost_mean_abs_error,hgb_mean_error,catboost_mean_error
627,23,578,494.8454910219888,525.5306046613373,21.51502134878212,22.84915672440597,2.249873519584394,1.652678913276901
628,47,336,215.26386944757888,199.76773747070405,4.5800823286718915,4.250377392993703,1.2586344144900083,-0.6240916579359259
629,40,220,230.68809848994044,196.37575888621117,5.767202462248511,4.9093939721552795,2.8700363917185308,1.680373205057228
630,37,320,245.51336163235214,252.18544257363166,6.635496260333841,6.815822772260315,0.5549536719145536,1.0875589384476056
631,27,958,884.614456450791,892.269236021082,32.763498387066335,33.04700874152155,-6.027175401052721,-6.189541037049561
632,67,2670,1471.0008439527294,1653.482146411523,21.955236476906407,24.678838006142133,-0.6763683698906947,7.216529153797834
633,27,441,452.701634046392,466.5698505756964,16.766727186903406,17.280364836136904,6.652618416834023,7.204747011278426
634,24,430,272.48968758599113,290.7252652688209,11.35373698274963,12.113552719534205,7.659165933441926,7.256750374948155
635,25,478,403.87218319599657,449.75547234774103,16.154887327839862,17.990218893909642,5.200993283803069,5.473778764523724
636,10,198,175.55363187820922,157.4280969913656,17.555363187820923,15.742809699136561,5.491202402076212,5.750881325577678
637,35,276,197.73718295641194,191.81228479120193,5.649633798754627,5.480350994034341,1.248789607150223,-0.4181951018336716
638,32,254,194.9205670282127,158.39374793504632,6.091267719631647,4.9498046229701975,0.8810357854751381,-1.6172285870374328
639,43,374,290.79066362705925,257.3692466988162,6.762573572722308,5.985331318577121,1.1356375581352998,-1.7700654571200807
641,12,22,69.58145748511582,32.35619416731693,5.798454790426319,2.6963495139430775,5.798454790426319,2.6100445403101062
643,34,51,140.85968847380335,36.23231496735432,4.1429320139353925,1.0656563225692448,4.1429320139353925,0.7985314869837579
644,31,152,217.05229218710434,129.76442926261927,7.001686844745302,4.185949331052234,4.761574048999854,1.1249529772349376
645,20,1495,1305.5577537839804,1145.7860199866827,65.27788768919902,57.28930099933414,12.807577588845566,-15.525950527567096
648,3,270,343.37820301859006,401.8921951962387,114.45940100619669,133.96406506541288,-46.14467204026644,-33.85841138238254
649,23,109,95.97154644038226,74.37499385552192,4.172675932190533,3.2336953850226924,2.155939636786846,0.47455998813131295
650,18,43,58.572776250837066,21.600788838718458,3.2540431250465036,1.2000438243732476,3.2540431250465036,0.20563225777842822
651,1,5,10.858392028877834,6.3592455003907915,10.858392028877834,6.3592455003907915,10.858392028877834,6.3592455003907915
