date,observations,actual_demand,hgb_total_abs_error,catboost_total_abs_error,hgb_mean_abs_error,catboost_mean_abs_error,hgb_mean_error,catboost_mean_error
2015-11-28,1332,28078,25532.81841588901,27612.150019119807,19.16878259451127,20.72984235669655,2.9135412622808747,2.592742673184594
2015-11-29,1215,26103,23535.951809908842,31342.381963047508,19.37115375301139,25.79619914654116,3.5724240033466406,12.803526864797345
2015-11-30,1034,24591,19447.474440743998,21369.744766780892,18.808002360487425,20.667064571354828,4.006643352224469,6.772152669364282
2015-12-01,994,24943,20928.923246226208,21172.84655638318,21.05525477487546,21.30065045913801,3.1862340417980186,1.9711888797615604
2015-12-02,1022,25668,23181.72652062901,23436.707849938364,22.682706967347368,22.93219946177922,1.3694819340176172,0.6824249133037928
2015-12-03,36,162,184.1277734002289,68.50392906043541,5.114660372228581,1.902886918345428,4.737027211997752,-0.5345953274020583
2015-12-04,1043,11412,14289.978804212598,11247.640829621521,13.70084257354995,10.783931763779023,9.614584830680679,3.764536441906252
2015-12-05,1434,38463,32566.695776190718,32382.956639873984,22.710387570565356,22.58225707104183,-2.5576630586859674,-4.120977237869223
2015-12-06,1176,27858,25289.36713483747,25486.025604785493,21.504563890167915,21.671790480259773,2.962935328552406,3.2649634088892774
2015-12-07,1070,41091,34397.04567838386,33499.45836009112,32.14677166204099,31.307905009430954,-9.994597866664197,-13.289571265101925
2015-12-08,1188,27668,26494.047942704638,26470.416346026668,22.301387157158786,22.28149524076319,3.9723318888127506,3.719520137838251
2015-12-09,486,9660,10751.28608443137,10666.235536520202,22.121987828048088,21.94698670065885,11.382647079783775,9.977053343193731
2015-12-10,31,120,195.00773581231653,51.30319968957953,6.290572122977952,1.6549419254703073,5.893788250020327,0.21870571509516157
2015-12-11,40,158,186.69356899481113,79.7635210705166,4.667339224870278,1.994088026762915,4.200077464536542,-0.6499361285415156
2015-12-12,37,99,251.73256272665384,75.38505989977307,6.80358277639605,2.037434051345218,6.80358277639605,1.6646645441856909
2015-12-13,33,120,200.58709165271702,49.3276496229818,6.078396716749,1.4947772613024788,6.078396716749,0.7824402358045394
2015-12-14,42,158,182.63394466400317,96.2220004533148,4.348427253904838,2.29100001079321,4.000452649115752,1.2078539144825977
2015-12-15,36,143,182.03125237932437,105.824058315184,5.056423677203455,2.9395571754217777,4.419177987695751,1.8116419176933762
2015-12-16,34,141,160.32139306901803,73.89906692983126,4.715335090265236,2.173501968524449,4.21495648130899,0.9277779044294082
2015-12-17,30,125,137.62327452010885,54.15317413346719,4.5874424840036285,1.8051058044489063,4.358374880089363,-0.10813737577438225
2015-12-18,30,133,146.89122833886353,84.17990000798284,4.896374277962118,2.8059966669327614,4.179776009944191,-1.2001844058910207
2015-12-19,28,103,160.20720661275539,49.694016125356875,5.72168595045555,1.774786290191317,5.571088336054457,0.036349566622815806
2015-12-20,35,135,170.98981412925133,82.03243614075055,4.885423260835752,2.34378388973573,4.147150001489469,0.4730501025828086
2015-12-21,21,73,126.94411758750033,61.066052547767946,6.044957980357158,2.907907264179426,5.601411319441287,1.3419915831069311
2015-12-22,27,95,164.92421447085962,62.98450743535287,6.108304239661468,2.332759534642699,5.93083146983276,0.8239523362914173
2015-12-23,40,183,163.49003240140053,77.14359642580807,4.087250810035013,1.9285899106452018,3.327750934177992,-1.2240160666219444
2015-12-24,34,126,170.77228967766976,67.82072273713206,5.022714402284405,1.9947271393274135,4.700589085758847,-0.49506862328532425
2015-12-25,33,112,139.4982021470089,64.93417991278142,4.227218246879057,1.967702421599437,4.087375727795126,-0.821506358601476
2015-12-26,26,81,144.59253476402316,55.55627925554773,5.561251337077814,2.13677997136722,5.240898835146487,0.28747125062328566
2015-12-27,43,195,171.58617659019527,88.61692131052031,3.990376199771983,2.0608586351283793,3.441150871081503,-0.6029109392908035
2015-12-28,37,134,182.92415969112457,112.6709443013613,4.943896207868232,3.0451606567935485,4.397317156918002,-0.35428346322165016
2015-12-29,33,138,146.47541284327804,45.98399744779532,4.438648874038728,1.3934544681150096,4.438648874038728,0.2741149830683234
2015-12-30,34,129,151.94881218616712,66.97019948117116,4.469082711357856,1.9697117494462106,4.314367419578985,0.8260826789577177
